ç´ïÔäJénì˙,î≠çsì˙,ëgóßäJénì˙,ê∂éYåééü,ì`ï[ÇmÇè,â¡çHïîî‘,ïîïiñº,ïKóvêî,ñ¢à¯ìñç›å…êî,éËéùÇøç›å…êî,ìæà”êÊíçï∂î‘çÜ,èoå…çœêî
2026/02/24,2025/11/22,2026/02/06,2026027,E000099254,3139-612AA42,SINKER GATE CAM A,1,1,5,,0
2026/02/02,2025/11/22,2026/01/19,2026021,E000098962,3139-612BA30,SINKER GATE CAM B,2,2,13,,0
2026/02/06,2025/11/22,2026/02/06,,E000099094,3139-612BA30,SINKER GATE CAM B,1,1,11,PM-5167102,
2025/11/04,2025/11/22,2025/10/20,2025111,E000097094,3139-612BA32,SINKER GATE CAM B,4,0,16,,4
2025/11/06,2025/11/22,2025/10/22,2025112,E000097102,3139-612BA32,SINKER GATE CAM B,4,0,16,,4
2025/11/11,2025/11/22,2025/10/27,2025113,E000097197,3139-612BA32,SINKER GATE CAM B,2,0,16,,2
2026/02/04,2025/11/22,2026/01/21,2026022,E000099100,3139-612BA32,SINKER GATE CAM B,3,3,16,,0
2025/11/20,2025/11/22,2025/11/06,2025116,E000097561,3139-612BA34,SINKER GATE CAM B,2,0,17,,2
2026/02/24,2025/11/22,2026/02/06,2026027,E000099255,3139-612BA42,SINKER GATE CAM B,1,1,6,,0
2025/12/10,2025/11/22,2025/11/26,2025124,E000098119,3145-511AA30,KNIT CAM,360,85,85,,0
2025/12/10,2025/11/22,2025/11/26,2025124,E000098120,3145-512AA30,TUCK CAM,192,105,105,,0
2025/12/10,2025/11/22,2025/11/26,2025124,E000098121,3145-513AA30,WELT CAM,192,31,31,,0
2025/12/10,2025/11/22,2025/11/26,2025124,E000098122,3145-515AA30,GATE CAM A,6,0,9,,6
2025/12/10,2025/11/22,2025/11/26,2025124,E000098123,3145-515BA30,GATE CAM B,6,0,13,,6
2025/12/01,2025/11/22,2025/11/14,2025121,E000098110,3145-531AA30,KK CAM,97,97,125,,0
2025/12/10,2025/11/22,2025/11/26,2025124,E000098124,3145-531AA30,KK CAM,98,28,28,,0
2025/11/14,2025/11/22,2025/11/14,,E000098160,3145-532AA30,KT CAM,20,2,2,PJ-0629901,
2025/12/01,2025/11/22,2025/11/14,2025121,E000098111,3145-532AA30,KT CAM,49,0,0,,0
2025/12/10,2025/11/22,2025/11/26,2025124,E000098125,3145-532AA30,KT CAM,102,0,0,,0
2025/12/01,2025/11/22,2025/11/14,2025121,E000098112,3145-533AA30,WW CAM,2,2,20,,0
2025/12/10,2025/11/22,2025/11/26,2025124,E000098126,3145-533AA30,WW CAM,104,18,18,,0
2025/12/01,2025/11/22,2025/11/14,2025121,E000098113,3145-534AA30,TK CAM,48,48,48,,0
2025/12/10,2025/11/22,2025/11/26,2025124,E000098127,3145-534AA30,TK CAM,100,0,0,,0
2025/12/10,2025/11/22,2025/11/26,2025124,E000098128,3145-536AA30,KW CAM,148,35,35,,0
2025/12/10,2025/11/22,2025/11/26,2025124,E000098129,3145-537AA30,WK CAM,148,48,48,,0
2025/12/10,2025/11/22,2025/11/26,2025124,E000098130,3145-538AA30,TW CAM,40,14,14,,0
2025/12/10,2025/11/22,2025/11/26,2025124,E000098131,3145-539AA30,WT CAM,40,15,15,,0
2025/12/01,2025/11/22,2025/11/14,2025121,E000098114,3145-551AA30,TT CAM,1,1,7,,0
2025/12/10,2025/11/22,2025/11/26,2025124,E000098132,3145-551AA30,TT CAM,20,6,6,,0
2025/12/01,2025/11/22,2025/11/14,2025121,E000098115,3145-611AA30,SINKER CAM,93,93,166,,0
2025/12/10,2025/11/22,2025/11/26,2025124,E000098133,3145-611AA30,SINKER CAM,186,73,73,,0
2025/12/01,2025/11/22,2025/11/14,2025121,E000098116,3145-611BA30,SINKER CAM,4,4,5,,0
2025/12/10,2025/11/22,2025/11/26,2025124,E000098134,3145-611BA30,SINKER CAM,8,1,1,,0
2025/12/01,2025/11/22,2025/11/14,2025121,E000098117,3145-612AA30,SINKER GATE CAM A,1,0,8,,1
2025/12/10,2025/11/22,2025/11/26,2025124,E000098135,3145-612AA30,SINKER GATE CAM A,2,0,8,,2
2025/12/01,2025/11/22,2025/11/14,2025121,E000098118,3145-612BA30,SINKER GATE CAM B,1,0,9,,1
2025/12/10,2025/11/22,2025/11/26,2025124,E000098136,3145-612BA30,SINKER GATE CAM B,2,0,9,,2
2025/12/03,2025/11/22,2025/12/03,,E000098379,3147-511AA38,KNIT CAM,208,37,37,PJ-0631801,
2026/02/02,2025/11/22,2026/01/19,2026021,E000098963,3147-522AA30,GATE WW CAM,1,1,4,,0
2025/11/25,2025/11/22,2025/11/10,2025117,E000097571,3147-531AA30,KNIT CAM,232,232,273,,0
2025/11/25,2025/11/22,2025/11/10,2025117,E000097572,3147-533AA30,WELT CAM,232,232,287,,0
2025/11/25,2025/11/22,2025/11/10,2025117,E000097573,3147-535AA30,GATE CAM,4,0,7,,4
2025/12/24,2025/11/22,2025/12/24,,E000098576,3151-621AA30,SINKER CAM,144,48,48,PE-2564408,
2025/12/24,2025/11/22,2025/12/24,,E000098573,3151-621AA30,SINKER CAM,144,0,0,PE-2564308,
2025/12/24,2025/11/22,2025/12/24,,E000098577,3151-621BA30,SINKER CAM,6,6,11,PE-2564409,
2025/12/24,2025/11/22,2025/12/24,,E000098574,3151-621BA30,SINKER CAM,6,5,5,PE-2564309,
2025/12/24,2025/11/22,2025/12/24,,E000098578,3151-622AB30,SINKER GATE CAM,2,2,4,PE-2564410,
2025/12/24,2025/11/22,2025/12/24,,E000098575,3151-622AB30,SINKER GATE CAM,2,2,2,PE-2564310,
2025/12/03,2025/11/22,2025/11/18,2025122,E000098188,3153-511AA30,KK CAM,290,184,184,,0
2026/01/20,2025/11/22,2026/01/05,2026015,E000098649,3153-511AA30,KK CAM,290,0,0,,0
2025/12/03,2025/11/22,2025/11/18,2025122,E000098189,3153-512AA30,KT CAM,96,36,36,,0
2025/12/17,2025/11/22,2025/12/17,,E000098380,3153-512AA30,KT CAM,500,0,0,PM-5160201,
2026/01/20,2025/11/22,2026/01/05,2026015,E000098650,3153-512AA30,KT CAM,96,0,0,,0
2025/12/03,2025/11/22,2025/11/18,2025122,E000098190,3153-512BA30,TK CAM,144,68,68,,0
2026/01/20,2025/11/22,2026/01/05,2026015,E000098651,3153-512BA30,TK CAM,144,0,0,,0
2025/12/03,2025/11/22,2025/11/18,2025122,E000098191,3153-513AA30,TW CAM,48,0,58,,48
2026/01/20,2025/11/22,2026/01/05,2026015,E000098652,3153-513AA30,TW CAM,48,48,58,,0
2025/12/03,2025/11/22,2025/11/18,2025122,E000098192,3153-513BA30,WT CAM,48,0,87,,48
2026/01/20,2025/11/22,2026/01/05,2026015,E000098653,3153-513BA30,WT CAM,48,48,87,,0
2025/12/03,2025/11/22,2025/11/18,2025122,E000098193,3153-513CA30,WW CAM,48,0,61,,48
2026/01/20,2025/11/22,2026/01/05,2026015,E000098654,3153-513CA30,WW CAM,48,48,61,,0
2025/12/03,2025/11/22,2025/11/18,2025122,E000098194,3153-515AA30,GATE CAM A,4,0,33,,4
2026/01/20,2025/11/22,2026/01/05,2026015,E000098655,3153-515AA30,GATE CAM A,4,4,33,,0
2025/12/03,2025/11/22,2025/11/18,2025122,E000098195,3153-515BA30,GATE CAM B,4,0,28,,4
2026/01/20,2025/11/22,2026/01/05,2026015,E000098656,3153-515BA30,GATE CAM B,4,4,28,,0
2025/12/03,2025/11/22,2025/11/18,2025122,E000098196,3153-611AA30,SINKER CAM,194,100,100,,0
2026/01/20,2025/11/22,2026/01/05,2026015,E000098657,3153-611AA30,SINKER CAM,194,0,0,,0
2025/12/03,2025/11/22,2025/11/18,2025122,E000098197,3153-612AA30,SINKER GATE CAM A,2,0,2,,2
2026/01/20,2025/11/22,2026/01/05,2026015,E000098658,3153-612AA30,SINKER GATE CAM A,2,2,2,,0
2025/12/03,2025/11/22,2025/11/18,2025122,E000098198,3153-612BA30,SINKER GATE CAM B,2,0,3,,2
2026/01/20,2025/11/22,2026/01/05,2026015,E000098659,3153-612BA30,SINKER GATE CAM B,2,2,3,,0
2026/01/30,2025/11/22,2026/01/30,,E000099145,3154-511AC22,KNIT CAM,100,13,13,PM-5168101,
2026/01/30,2025/11/22,2026/01/30,,E000099146,3154-611ZA22,SINKER CAM,100,4,4,PM-5168102,
2025/11/04,2025/11/22,2025/10/20,2025111,E000097095,3164-511AA32,KNIT CAM,1668,0,64,,1668
2025/11/06,2025/11/22,2025/10/22,2025112,E000097103,3164-511AA32,KNIT CAM,1668,0,64,,1668
2025/11/11,2025/11/22,2025/10/27,2025113,E000097198,3164-511AA32,KNIT CAM,834,0,64,,834
2026/02/04,2025/11/22,2026/01/21,2026022,E000099101,3164-511AA32,KNIT CAM,1251,64,64,,0
2025/11/20,2025/11/22,2025/11/06,2025116,E000097562,3164-511AA34,KNIT CAM,650,650,698,,0
2026/02/24,2025/11/22,2026/02/06,2026027,E000099256,3164-511AA42,KNIT CAM,411,16,16,,0
2026/02/02,2025/11/22,2026/01/19,2026021,E000098964,3164-511AB30,KNIT CAM,386,221,221,,0
2026/01/13,2025/11/22,2026/01/13,,E000098874,3164-511ZA34,KNIT CAM,220,20,20,PE-2569001,
2025/11/04,2025/11/22,2025/10/20,2025111,E000097096,3164-512AA32,TUCK CAM,832,0,25,,832
2025/11/06,2025/11/22,2025/10/22,2025112,E000097104,3164-512AA32,TUCK CAM,832,0,25,,832
2025/11/11,2025/11/22,2025/10/27,2025113,E000097199,3164-512AA32,TUCK CAM,416,0,25,,416
2026/02/04,2025/11/22,2026/01/21,2026022,E000099102,3164-512AA32,TUCK CAM,624,25,25,,0
2025/11/20,2025/11/22,2025/11/06,2025116,E000097563,3164-512AA34,TUCK CAM,324,324,409,,0
2026/02/24,2025/11/22,2026/02/06,2026027,E000099257,3164-512AA42,TUCK CAM,210,6,6,,0
2026/02/02,2025/11/22,2026/01/19,2026021,E000098965,3164-512AB30,TUCK CAM,192,81,81,,0
2025/11/04,2025/11/22,2025/10/20,2025111,E000097097,3164-513AA32,WELT CAM,624,0,47,,624
2025/11/06,2025/11/22,2025/10/22,2025112,E000097105,3164-513AA32,WELT CAM,624,0,47,,624
2025/11/11,2025/11/22,2025/10/27,2025113,E000097200,3164-513AA32,WELT CAM,312,0,47,,312
2025/12/15,2025/11/22,2025/12/15,,E000098584,3164-513AA32,WELT CAM,16,16,47,PM-5162204,
2026/02/04,2025/11/22,2026/01/21,2026022,E000099103,3164-513AA32,WELT CAM,468,31,31,,0
2025/11/20,2025/11/22,2025/11/06,2025116,E000097564,3164-513AA34,WELT CAM,324,324,437,,0
2026/02/24,2025/11/22,2026/02/06,2026027,E000099258,3164-513AA42,WELT CAM,140,4,4,,0
2026/02/02,2025/11/22,2026/01/19,2026021,E000098966,3164-513AB30,WELT CAM,192,96,96,,0
2026/02/06,2025/11/22,2026/02/06,,E000099096,3164-514AB30,WELT CAM,4,4,11,PM-5167104,
2025/11/04,2025/11/22,2025/10/20,2025111,E000097098,3164-515AA32,GATE CAM A,16,0,55,,16
2025/11/06,2025/11/22,2025/10/22,2025112,E000097106,3164-515AA32,GATE CAM A,16,0,55,,16
2025/11/11,2025/11/22,2025/10/27,2025113,E000097201,3164-515AA32,GATE CAM A,8,0,55,,8
2026/02/04,2025/11/22,2026/01/21,2026022,E000099104,3164-515AA32,GATE CAM A,12,12,55,,0
2025/11/20,2025/11/22,2025/11/06,2025116,E000097565,3164-515AA34,GATE CAM A,8,0,24,,8
2026/02/24,2025/11/22,2026/02/06,2026027,E000099259,3164-515AA42,GATE CAM A,4,3,3,,0
2026/02/02,2025/11/22,2026/01/19,2026021,E000098967,3164-515AB30,GATE CAM A,8,8,48,,0
2025/11/04,2025/11/22,2025/10/20,2025111,E000097099,3164-515BA32,GATE CAM B,16,0,67,,16
2025/11/06,2025/11/22,2025/10/22,2025112,E000097107,3164-515BA32,GATE CAM B,16,0,67,,16
2025/11/11,2025/11/22,2025/10/27,2025113,E000097202,3164-515BA32,GATE CAM B,8,0,67,,8
2026/02/04,2025/11/22,2026/01/21,2026022,E000099105,3164-515BA32,GATE CAM B,12,12,67,,0
2025/11/20,2025/11/22,2025/11/06,2025116,E000097566,3164-515BA34,GATE CAM B,8,0,29,,8
2026/02/24,2025/11/22,2026/02/06,2026027,E000099260,3164-515BA42,GATE CAM B,4,2,2,,0
2026/02/02,2025/11/22,2026/01/19,2026021,E000098968,3164-515BB30,GATE CAM B,8,8,48,,0
2026/02/06,2025/11/22,2026/02/06,,E000099097,3164-521AA30,KNIT CAM,192,12,12,PM-5167105,
2026/02/02,2025/11/22,2026/01/19,2026021,E000098969,3164-611AA30,SINKER CAM,194,194,200,,0
2026/02/06,2025/11/22,2026/02/06,,E000099095,3164-611AA30,SINKER CAM,96,6,6,PM-5167103,
2025/11/04,2025/11/22,2025/10/20,2025111,E000097100,3164-611AA32,SINKER CAM,420,0,81,,420
2025/11/06,2025/11/22,2025/10/22,2025112,E000097108,3164-611AA32,SINKER CAM,420,0,81,,420
2025/11/11,2025/11/22,2025/10/27,2025113,E000097203,3164-611AA32,SINKER CAM,210,0,81,,210
2026/02/04,2025/11/22,2026/01/21,2026022,E000099106,3164-611AA32,SINKER CAM,315,81,81,,0
2025/11/20,2025/11/22,2025/11/06,2025116,E000097567,3164-611AA34,SINKER CAM,218,218,343,,0
2026/02/24,2025/11/22,2026/02/06,2026027,E000099261,3164-611AA42,SINKER CAM,137,8,8,,0
2025/11/04,2025/11/22,2025/11/04,,E000096879,3166-511AA18,KNIT CAM,200,59,59,PM-5151202,
2025/11/04,2025/11/22,2025/11/04,,E000096880,3166-511AA22,KNIT CAM,200,68,68,PM-5151204,
2026/01/22,2025/11/22,2026/01/07,2026016,E000098688,3167-521AA34,KNIT CAM,813,44,44,,0
2026/01/27,2025/11/22,2026/01/13,2026017,E000098707,3167-521AA34,KNIT CAM,813,0,0,,0
2026/01/29,2025/11/22,2026/01/15,2026018,E000098713,3167-521AA34,KNIT CAM,1084,0,0,,0
2026/02/09,2025/11/22,2026/01/26,2026023,E000099031,3167-521AA34,KNIT CAM,1355,0,0,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098689,3167-522AA34,TUCK CAM,270,20,20,,0
2026/01/27,2025/11/22,2026/01/13,2026017,E000098708,3167-522AA34,TUCK CAM,270,0,0,,0
2026/01/29,2025/11/22,2026/01/15,2026018,E000098714,3167-522AA34,TUCK CAM,360,0,0,,0
2026/02/09,2025/11/22,2026/01/26,2026023,E000099032,3167-522AA34,TUCK CAM,450,0,0,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098690,3167-523AA34,WELT CAM,270,43,43,,0
2026/01/27,2025/11/22,2026/01/13,2026017,E000098709,3167-523AA34,WELT CAM,270,0,0,,0
2026/01/29,2025/11/22,2026/01/15,2026018,E000098715,3167-523AA34,WELT CAM,360,0,0,,0
2026/02/09,2025/11/22,2026/01/26,2026023,E000099033,3167-523AA34,WELT CAM,450,0,0,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098691,3167-525AA30,GATE CAM,12,9,9,,0
2026/01/27,2025/11/22,2026/01/13,2026017,E000098710,3167-525AA30,GATE CAM,12,0,0,,0
2026/01/29,2025/11/22,2026/01/15,2026018,E000098716,3167-525AA30,GATE CAM,16,0,0,,0
2026/02/09,2025/11/22,2026/01/26,2026023,E000099034,3167-525AA30,GATE CAM,20,0,0,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098692,3167-611AA34,SINKER CAM,273,14,14,,0
2026/01/27,2025/11/22,2026/01/13,2026017,E000098711,3167-611AA34,SINKER CAM,273,0,0,,0
2026/01/29,2025/11/22,2026/01/15,2026018,E000098717,3167-611AA34,SINKER CAM,364,0,0,,0
2026/02/09,2025/11/22,2026/01/26,2026023,E000099035,3167-611AA34,SINKER CAM,455,0,0,,0
2026/01/22,2025/11/22,2026/01/07,2026016,E000098693,3167-612AA34,SINKER GATE CAM,3,3,17,,0
2026/01/27,2025/11/22,2026/01/13,2026017,E000098712,3167-612AA34,SINKER GATE CAM,3,3,14,,0
2026/01/29,2025/11/22,2026/01/15,2026018,E000098718,3167-612AA34,SINKER GATE CAM,4,4,11,,0
2026/02/09,2025/11/22,2026/01/26,2026023,E000099036,3167-612AA34,SINKER GATE CAM,5,5,7,,0
2025/11/28,2025/11/22,2025/11/28,202511,E000098103,3237-511BA,STITCH CAM,434,434,474,,
2025/11/28,2025/11/22,2025/11/28,202511,E000098104,3237-512AB34,KNIT CAM,434,434,444,,
2025/11/28,2025/11/22,2025/11/28,202511,E000098105,3237-513AB34,TUCK CAM,216,216,234,,
2025/11/28,2025/11/22,2025/11/28,202511,E000098378,3237-514AC34,WELT CAM,216,216,224,,
2025/11/28,2025/11/22,2025/11/28,202511,E000098107,3237-515AA34,SEGMENT CAM,8,8,19,,
2025/11/28,2025/11/22,2025/11/28,202511,E000098108,3237-611AB34,SINKER CAM,110,110,121,,
2025/11/28,2025/11/22,2025/11/28,202511,E000098109,3237-612AB34,SINKER GATE CAM,2,2,7,,
2026/01/13,2025/11/22,2025/12/22,2026013,E000098786,3238-511BA,STITCH CAM,485,65,65,,0
2026/01/15,2025/11/22,2025/12/24,2026014,E000098811,3238-511BA,STITCH CAM,255,0,0,,0
2026/01/20,2025/11/22,2026/01/05,2026015,E000098843,3238-511BA,STITCH CAM,170,0,0,,0
2026/02/09,2025/11/22,2026/01/26,2026023,E000099154,3238-511BA,STITCH CAM,194,0,0,,0
2026/02/12,2025/11/22,2026/01/28,2026024,E000099179,3238-511BA,STITCH CAM,291,0,0,,0
2026/02/17,2025/11/22,2026/02/02,2026025,E000099204,3238-511BA,STITCH CAM,170,0,0,,0
2026/02/19,2025/11/22,2026/02/04,2026026,E000099229,3238-511BA,STITCH CAM,255,0,0,,0
2026/01/13,2025/11/22,2025/12/22,2026013,E000098787,3238-521AA,STITCH CAM,240,33,33,,0
2026/01/15,2025/11/22,2025/12/24,2026014,E000098812,3238-521AA,STITCH CAM,126,0,0,,0
2026/01/20,2025/11/22,2026/01/05,2026015,E000098844,3238-521AA,STITCH CAM,84,0,0,,0
2026/02/09,2025/11/22,2026/01/26,2026023,E000099155,3238-521AA,STITCH CAM,96,0,0,,0
2026/02/12,2025/11/22,2026/01/28,2026024,E000099180,3238-521AA,STITCH CAM,144,0,0,,0
2026/02/17,2025/11/22,2026/02/02,2026025,E000099205,3238-521AA,STITCH CAM,84,0,0,,0
2026/02/19,2025/11/22,2026/02/04,2026026,E000099230,3238-521AA,STITCH CAM,126,0,0,,0
2026/01/15,2025/11/22,2025/12/24,2026014,E000098813,3239-512AA26,KNIT CAM,255,17,17,,0
2026/01/20,2025/11/22,2026/01/05,2026015,E000098845,3239-512AA26,KNIT CAM,170,0,0,,0
2026/02/17,2025/11/22,2026/02/02,2026025,E000099206,3239-512AA26,KNIT CAM,170,0,0,,0
2026/02/19,2025/11/22,2026/02/04,2026026,E000099231,3239-512AA26,KNIT CAM,255,0,0,,0
2026/01/13,2025/11/22,2025/12/22,2026013,E000098788,3239-512AB30,KNIT CAM,485,87,87,,0
2026/02/09,2025/11/22,2026/01/26,2026023,E000099156,3239-512AB30,KNIT CAM,194,0,0,,0
2026/02/12,2025/11/22,2026/01/28,2026024,E000099181,3239-512AB30,KNIT CAM,291,0,0,,0
2026/01/15,2025/11/22,2025/12/24,2026014,E000098814,3239-513AA26,TUCK CAM,126,9,9,,0
2026/01/20,2025/11/22,2026/01/05,2026015,E000098846,3239-513AA26,TUCK CAM,84,0,0,,0
